sku;code;in_box;kg;boxes_count
"Моцарелла Грандиоза в воде ""Unagrande"", 50%, 0,2/0,36 кг, ф/п";Н0000094897;8;21;14
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,1/0,18 кг, ф/п, (8 шт)";Н0000094728;8;434;543
"Моцарелла Фиор Ди Латте в воде ""Pretto"", 45%, 0,125/0,225 кг, ф/п, (8 шт)";Н0000094729;8;147;147
"Моцарелла Фиор ди Латте в воде ""Красная птица"", 45%, 0,125/0,225 кг, ф/п";Н0000090381;12;270;180
"Моцарелла Фиор ди латте в воде ""Fine Life"", 45%, 0,125/0,225 кг, ф/п";Н0000087862;12;60;40
"Моцарелла Фиор ди латте в воде ""Unagrande"", 50%, 0,125/0,225 кг, ф/п, (8 шт)";Н0000094736;8;979;979
"Моцарелла Чильеджина в воде ""Fine Life"", 45%, 0,125/0,225 кг, ф/п";Н0000087861;12;60;40
"Моцарелла Чильеджина в воде ""Pretto"", 45%, 0,1/0,18 кг, ф/п, (8 шт)";Н0000094727;8;683;854
"Моцарелла Чильеджина в воде ""Красная птица"", 45%, 0,125/0,225 кг, ф/п";Н0000090380;12;316;211
"Моцарелла в воде Фиор Ди Латте ""Orecchio Oro"", 45%, 0,1/0,18 кг, ф/п";Н0000095981;8;575;719
"Моцарелла в воде Фиор Ди Латте ""Каждый день"", 45%, 0,1/0,18 кг, ф/п";Н0000096804;12;254;212
"Моцарелла в воде Фиор ди Латте ""Aventino"", 45%, 0,1/0,18 кг, ф/п";Н0000096234;8;238;298
"Моцарелла в воде Чильеджина ""Aventino"", 45%, 0,1/0,18 кг, ф/п";Н0000096233;8;91;114
"Моцарелла в воде Чильеджина ""Orecchio Oro"", 45%, 0,1/0,18 кг, ф/п";Н0000095985;8;479;599
"Моцарелла в воде Чильеджина ""Каждый день"", 45%, 0,1/0,18 кг, ф/п";Н0000096805;12;371;310
"Моцарелла палочки ""Бонджорно"", 45%, 0,12 кг, т/ф";Н0000095934;10;94;79
"Моцарелла палочки ""ВкусВилл"", 45%, 0,12 кг, т/ф";Н0000094497;10;756;630
"Сулугуни ""ВкусВилл"", 45%, 0,28 кг, т/ф";Н0000095992;8;202;91
"Сулугуни ""Умалат"", 45%, 0,28 кг, т/ф, (8 шт)";Н0000081879;8;1498;669
"Рикотта ""Aventino"", 45%, 0,2 кг, п/с";Н0000096235;6;400;334
"Рикотта ""Metro Chef"" 45%, 0,5 кг, пл/с";Н0000097279;6;300;100
"Рикотта ""Pretto"", 45%, 0,2 кг, пл/с";Н0000088471;6;2000;1667
"Рикотта ""Pretto"", 45%, 0,5 кг, пл/с";Н0000086888;6;6400;2134
"Рикотта ""Unagrande"", 50%, 0,25 кг, пл/с";Н0000094030;6;600;400
"Рикотта ""ВкусВилл"", 45%, 0,18 кг, пл/с (6 шт)";Н0000093950;6;1600;1482
"Рикотта ""Красная птица"", 30%,  0,25 кг, пл/с (6 шт)";Н0000095119;6;400;267
"Рикотта ""Фермерская коллекция"", 45%, 0,2 кг, пл/с";Н0000095392;6;400;334
"Рикотта с шоколадом ""Бонджорно"", 30%, 0,2 кг, пл/с";Н0000095931;6;300;250
"Кремчиз ""Unagrande"", 70%, 0,5 кг, пл/с";Н0000085588;6;450;150
"Кремчиз ""ВкусВилл"", 70%, 0,18 кг, пл/с (6шт)";Н0000093541;6;450;417
"Маскарпоне ""Unаgrande"", 80%, 0,5 кг, пл/с";Н0000085587;6;230;77
"Маскарпоне ""ВкусВилл"", 80%, 0,25 кг, пл/с (6 шт)";Н0000094363;6;250;167
"Маскарпоне с шоколадом ""Красная птица"", 50%, 0,2 кг, пл/с";Н0000096631;6;450;375
"Сливки ""Красная птица"", 38%, 0,25 л, пл/с";Н0000096634;6;250;167
